3,2,2334
3,4,2333
3,12,155
3,13,2332
3,14,1231
70,12,141
72,12,1191
74,12,180
75,12,182
76,12,183
79,12,275
81,12,209
86,12,273
91,12,85
91,15,86
97,12,135
98,12,194
105,12,651
277,2,1069
277,4,653
277,12,650
277,13,654
277,14,996
277,15,997
358,2,1234
358,4,1493
358,8,1229
358,12,1230
1718,1,902
1718,2,663
1718,5,660
1718,6,662
1718,7,901
1718,14,904
1718,15,661
7460,12,206
7462,1,166
7462,2,171
7462,8,167
7462,13,168
7462,14,169
7462,15,170
7463,1,130
7463,2,131
7463,4,134
7463,5,132
7463,12,133
7466,12,110
7467,12,281
7468,12,279
7471,1,903
7471,4,657
7471,6,658
7471,12,900
7471,15,655
7472,2,100
7472,4,101
7472,5,102
7472,8,89
7472,12,87
7472,13,103
7472,14,104
7472,15,88
7473,2,148
7473,6,1079
7473,7,149
7473,8,150
7473,12,151
7474,2,108
7474,4,105
7474,5,106
7474,10,284
7474,12,107
7475,2,156
7475,12,157
7475,13,158
7476,12,178
7477,2,203
7477,12,204
7477,13,205
7478,2,195
7478,12,196
7478,13,197
7479,1,1000
7479,12,652
7480,12,277
7481,1,128
7481,2,590
7481,4,52
7481,5,53
7481,8,229
7481,12,45
7481,13,230
7481,15,129
7482,1,216
7482,5,217
7482,12,218
7482,13,219
7483,12,276
7485,4,625
7485,5,626
7485,8,627
7486,4,1494
7486,6,56
7486,7,57
7486,12,54
7486,15,177
7487,12,1214
7488,1,2339
7488,4,2312
7488,5,2313
7488,8,2315
7488,9,2314
7488,12,268
7490,12,1103
7490,15,1007
7491,12,274
7493,12,269
7494,12,270
7496,2,1009
7496,4,1013
7496,5,1011
7496,7,1245
7496,12,1012
7496,15,1008
7496,18,2335
7497,1,243
7497,2,244
7497,6,245
7497,12,246
7499,2,81
7499,4,82
7499,5,83
7499,6,84
7499,8,80
7499,12,78
7499,15,79
7500,2,200
7500,6,201
7500,12,202
7501,1,257
7501,2,272
7501,4,260
7501,5,259
7501,6,261
7502,12,1104
7504,12,91
7505,12,388
7507,1,223
7507,2,224
7507,5,593
7507,8,225
7507,12,226
7507,14,228
7507,15,227
7508,1,210
7508,2,211
7508,8,212
7508,12,213
7509,2,214
7509,12,215
7511,12,207
7511,14,208
7512,1,187
7512,2,188
7512,8,189
7512,9,190
7512,12,1232
7512,13,192
7512,14,193
7512,15,880
7513,1,93
7513,2,95
7513,5,96
7513,8,94
7513,10,98
7513,13,97
7513,14,99
