93,42,11,"<i>D. tryoni</i> habitus: lateral","0000-00-00 00:00:00","2004-11-08 10:32:21",""
93,43,13,"<i>D. tryoni</i> ovipositer (apically sinuate)","0000-00-00 00:00:00","2004-11-08 10:32:21",""
93,59,15,"Opiinae showing occipital carina absent","2007-07-17 16:00:54","2007-07-17 17:01:41","wharton"
93,218,14,"<i>D. fullawayi</i> occipital carina (arrow)","2007-07-17 15:28:58","2007-07-17 16:31:23","wharton"
93,272,16,"<i>D. mellea</i> showing presence of carinae on tergum 2","2007-07-17 16:03:01","2007-07-17 17:04:52","wharton"
93,278,17,"<i>D. juglandis</i> showing absence of carinae on tergum 2","2007-07-17 16:03:42","2007-07-17 17:04:52","wharton"
93,279,18,"<i>D. juglandis</i>","2007-07-17 16:08:50","2007-07-17 17:09:19","wharton"
93,490,20,"<i>D. mellea</i> heavily sculptured sternaulus","2007-07-17 16:11:27","2007-07-17 17:12:05","wharton"
93,491,21,"<i>D. mellea</i> heavily sculptured sternaulus","2007-07-17 16:12:21","2007-07-17 17:12:37","wharton"
93,492,22,"<i>D. sublaevis</i> weakly sculptured sternaulus","2007-07-17 16:12:49","2007-07-17 17:13:23","wharton"
93,560,19,"<i>D. mellea</i>","2007-07-17 16:09:44","2007-07-17 17:10:11","wharton"
94,23,1,"<i>D. fullawayi</i> habitus: lateral","0000-00-00 00:00:00","2004-11-08 10:32:21",""
94,38,3,"<i>D. longicaudata</i> hind wing","0000-00-00 00:00:00","2004-11-08 10:32:21",""
94,39,2,"<i>D. longicaudata</i> fore wing","0000-00-00 00:00:00","2004-11-08 10:32:21",""
104,88,4,"<i>Aganaspis nordlanderi</i> wing","0000-00-00 00:00:00","2005-01-24 19:35:24",""
104,91,14,"<i>Aganaspis pelleranoi</i> habitus: male","0000-00-00 00:00:00","2005-01-24 19:55:09",""
104,93,11,"<i>Aganaspis pelleranoi</i> scutellum: dorsal","0000-00-00 00:00:00","2005-01-24 19:51:04",""
104,94,5,"<i>Aganaspis pelleranoi</i> wing","0000-00-00 00:00:00","2005-01-24 19:35:24",""
104,97,8,"<i>Lopheucoila anastrephae</i> scutellum: dorsal","0000-00-00 00:00:00","2005-01-24 19:36:33",""
104,99,9,"<i>Lopheucoila anastrephae</i> scutellum: lateral","0000-00-00 00:00:00","2005-01-24 19:36:33",""
104,100,2,"<i>Lopheucoila anastrephae</i> wing","0000-00-00 00:00:00","2005-01-24 19:52:23",""
104,101,3,"<i>Lopheucoila anastrephae</i> wing","2005-01-24 18:32:19","2005-01-24 19:35:24","wharton"
104,103,6,"<i>Odontosema anastrephae</i> scutellum: dorsal","0000-00-00 00:00:00","2005-01-24 19:52:23",""
104,104,7,"<i>Odontosema anastrephae</i> scutellum: dorsal oblique","0000-00-00 00:00:00","2005-01-24 19:36:33",""
104,106,1,"<i>Odontosema anastrephae</i> wing","0000-00-00 00:00:00","2005-01-24 19:33:46",""
104,312,10,"<i>Dicerataspis</i> mesoscutum and scutellum","2005-01-24 18:40:06","2005-01-24 19:52:23","wharton"
104,351,12,"<i>Ealata</i>","2005-01-24 18:38:31","2005-01-24 19:52:23","wharton"
104,353,13,"<i>Ealata</i>","2005-01-24 18:39:24","2005-01-24 19:52:28","wharton"
110,5,1,"<i>Microcrasis</i> sp. face, frontal view","2004-12-11 15:33:44","2004-12-11 16:36:28","wharton"
121,191,4,"<i>Opius bellus</i> fore wing","0000-00-00 00:00:00","2004-12-13 19:10:49",""
121,192,5,"<i>Opius bellus</i> hind wing","0000-00-00 00:00:00","2004-12-13 19:10:42",""
121,248,2,"face and mandible","2004-12-13 18:06:32","2004-12-13 19:10:44","wharton"
121,251,1,"back of head","2004-12-13 18:06:41","2004-12-13 19:10:24","wharton"
121,253,3,"mesoscutum and top of head","2004-12-13 18:06:49","2004-12-13 19:10:49","wharton"
128,70,2,"<i>A. indica</i> antennae: dorsal oblique","0000-00-00 00:00:00","2004-11-08 10:32:21",""
128,71,1,"<i>A. indica</i> habitus: lateral","0000-00-00 00:00:00","2004-11-08 10:32:21",""
128,72,3,"<i>A. indica</i> thorax: dorsal","0000-00-00 00:00:00","2004-11-08 10:32:21",""
128,188,4,"<i>A. indica</i> leg: lateral","0000-00-00 00:00:00","2004-11-08 10:32:21",""
130,10,4,"<i>Bracon celer</i> abdomen: dorsal","0000-00-00 00:00:00","2004-11-08 10:32:21",""
130,11,2,"<i>Bracon celer</i> face: anterior","0000-00-00 00:00:00","2004-11-08 10:32:21",""
130,13,3,"<i>Bracon celer</i> labrum: ventral","0000-00-00 00:00:00","2004-11-08 10:32:21",""
130,15,1,"<i>Bracon celer</i> habitus: lateral","0000-00-00 00:00:00","2004-11-08 10:32:21",""
130,16,5,"<i>Bracon celer</i> fore wing, left","0000-00-00 00:00:00","2004-11-08 10:32:21",""
130,17,6,"<i>Bracon celer</i> hind wing","0000-00-00 00:00:00","2004-11-08 10:32:21",""
141,18,2,"<i>Dirhinus giffardii</i> head: dorsal","0000-00-00 00:00:00","2004-11-08 10:32:21",""
