23	"Bremer, H."	1950	"Bremer, H. 1950. Zur Rassenfrage bei Pegomyia hyoscyami Pz. Zeitschrift fuer Pflanzenkrankheiten und Pflanzenschutz 57:415-416"	"Bremer 1950"
24	"Bremer, H. and Kaufmann, O."	1928	"Bremer, H. and Kaufmann, O. 1928. Die natuerlichen Feinde der Ruebenfliege Arbeiten Biologischen Reichsanstalt fuer Land- und Forstwirtschaft (Berlin) 16:520-555"	"Bremer and Kaufmann 1928"
25	"Bremer, H."	1926	"Bremer, H. 1926. Ueber die tageszeitliche Konstanz im Schluepftermine der Imagines einiger Insekten und ihre experimentelle Beeinflussbarkeit Zeitschrift fuer Wissenschaftliche InsektenBiologie 21:209-216"	"Bremer 1926"
26	"Boyce, A. M."	1934	"Boyce, A. M. 1934. Bionomics of the walnut husk fly, Rhagoletis completa Hilgardia 8:363-579"	"Boyce 1934 "
27	"Boening, K."	1924	"Boening, K. 1924. Die Runkelfliege Westdeutsche Landwirtschaft 9"	"Boening 1924"
28	"Bodenheimer, F. S."	1926	"Bodenheimer, F. S. 1926. Entomology Zionist Organization, Institute of Agriculture and Natural History, Agricultural Experiment Station 1st Report, 1921-26 pp.44-49"	"Bodenheimer 1926"
29	"Brethes, J."	1924	"Brethes, J. 1924a. Varios himenopteros de la America del Sud Numquam otiosus, Buenos Aires 2:6-16"	"Brethes 1924a"
30	"Brethes, J."	1913	"Brethes, J. 1913. Himenopteros de la America meridional Anales del Museo Nacional de Buenos Aires 24:36-163"	"Brethes 1913"
31	"Bridwell, J. C."	1919	"Bridwell, J. C. 1919. Descriptions of new species of hymenopterous parasites of muscoid Diptera with notes on their habits Proceedings of the Hawaiian Entomological Society 4:166-179"	"Bridwell 1919"
32	"Brues, C. T. and Richardson, C. H."	1913	"Brues, C. T. and Richardson, C. H. 1913. Descriptions of new parasitic Hymenoptera from British Guiana Bulletin of the American Museum of Natural History 32:485-503"	"Brues and Richardson 1913"
33	"Brues, C. T."	1926	"Brues, C. T. 1926. Studies on Ethiopian Braconidae with a catalogue of the African species Proceedings of the American Academy of Arts and Sciences 61:205-436"	"Brues 1926"
34	"Brugiroux, A."	1928	"Brugiroux, A. 1928. French settlements in Oceania: some insects damaging crops Internal Review of Agriculture 19:400"	"Brugiroux 1928"
35	"Bua, G."	1938	"Bua, G. 1938. Contributo alla conoscenza dei parassiti temporanei della mosca delle olive Olivicoltore 15"	"Bua 1938"
36	"Burghele, A."	1959	"Burghele, A. 1959. Contributii la studiul unor Himenoptere care paraziteaza stadii acvatice de insecte Analele Universitatii Bucuresti Seria Stiintele Naturi 22:143-169"	"Burghele 1959"
37	"Cameron, P."	1904	"Cameron, P. 1904. New Hymenoptera, mostly from Nicaragua Invertebrata Pacifica 1:46-69"	"Cameron 1904"
38	"Cameron, P."	1906	"Cameron, P. 1906. Description of a new species of QQQQOpiusQQQQ from Ceylon Spolia Zeylanica Bulletin of the National Museums of Ceylon 3:210"	"Cameron 1906"
