126,"Shetland Islands",323,"United Kingdom","","","",\N
127,"Orkney Islands",323,"United Kingdom","","","",\N
128,"Azores",323,"Portugal","Azores","","",\N
129,"Madeira",323,"Portugal","","","",\N
130,"Canary Islands",323,"Spain","","","",\N
131,"Cape Verde Islands",320,"Cape Verde Islands","","","",\N
132,"Ascension",143,"United Kingdom","","","",\N
133,"Saint Helena",143,"United Kingdom","Saint Helena","","",\N
134,"Tristan da Cunha Group",323,"United Kingdom","","","",\N
135,"Gough",143,"United Kingdom","","","",\N
136,"Ilhas da Trindade",323,"Brazil","","","",\N
137,"South Georgia",143,"United Kingdom","","","",\N
138,"South Sandwich Islands",323,"United Kingdom","","","",\N
139,"Bouvet",143,"Norway","Bouvet","","",\N
140,"Prince Edward Islands",323,"South Africa","","","",\N
141,"Iles Crozet",323,"France","","","",\N
142,"Iles Kerguelen",323,"France","","","",\N
143,"McDonald Islands",323,"Australia","","","",\N
144,"Australia",10,"Australia","","","",\N
145,"Falkland Islands",323,"United Kingdom","","","",\N
146,"Shag Rocks",143,"United Kingdom","","","",\N
147,"Comoros",320,"Comoros","","","",\N
148,"Mayotte",143,"France","","","",\N
149,"Europa",143,"France","","","",\N
150,"Seychelles",320,"Seychelles","","","",\N
151,"Reunion",326,"France","","","",\N
152,"Mauritius",320,"Mauritius","","","",\N
153,"Amsterdam",143,"France","Amsterdam","","",\N
154,"Saint Paul",143,"France","","","",\N
155,"Zambia",320,"Zambia","","","",\N
156,"Transkei",321,"South Africa","Transkei","","",\N
157,"Angola",320,"Angola","","","",\N
158,"Borneo",143,"","","","",\N
159,"Indonesia",320,"Indonesia","","","",\N
160,"Burkina Faso",320,"Burkina Faso","","","",\N
161,"India",320,"India","","","",\N
162,"Afghanistan",320,"Afghanistan","","","",\N
163,"Pakistan",320,"Pakistan","","","",\N
164,"China",320,"China","","","",\N
165,"Nepal",320,"Nepal","","","",\N
166,"Bhutan",320,"Bhutan","","","",\N
167,"Sikkim",320,"Sikkim","","","",\N
168,"Bangladesh",320,"Bangladesh","","","",\N
169,"Burma",320,"Burma","","","",\N
170,"Thailand",320,"Thailand","","","",\N
171,"Kampuchea",320,"Kampuchea","","","",\N
172,"Malaysia",320,"Malaysia","","","",\N
173,"Andaman Islands",323,"India","","","",\N
174,"Nicobar Islands",323,"India","","","",\N
175,"Laos",320,"Laos","","","",\N
176,"Vietnam",320,"Vietnam","","","",\N
