15,1,7411
17,3,1
18,4,1
21,7,1
24,10,1
25,11,1
27,13,1
29,15,7406
30,16,7406
73,59,7414
84,70,7404
86,72,7404
88,74,7404
89,75,7404
90,76,7404
93,79,7404
95,81,7404
100,86,7404
105,91,7415
111,97,7409
112,98,7409
117,103,3
118,104,3
119,105,3
120,106,3
134,120,104
144,130,104
159,203,103
182,226,103
233,277,105
241,285,105
246,290,105
260,304,105
305,349,105
311,355,105
314,358,105
320,364,106
1675,1718,277
1754,1797,290
7360,7404,7406
7361,7406,7411
7364,7409,7406
7366,7411,7405
7370,7415,7406
7391,7460,97
7393,7462,7460
7394,7465,97
7395,7466,97
7396,7467,98
7398,7468,98
7399,7469,98
7400,7471,277
7401,7472,91
7404,7474,7472
7405,7475,7472
7406,7476,7472
7407,7477,7472
7408,7478,7472
7409,7479,70
7410,7480,74
7411,7481,74
7412,7482,74
7413,7483,7480
7414,7484,7481
7415,7485,7482
7416,7486,7482
7418,7487,7482
7419,7488,75
7422,7490,81
7424,7491,81
7425,7492,81
7426,7493,81
7427,7494,81
7428,7495,76
7429,7496,7490
7430,7497,7491
7431,7498,7491
7432,7473,7474
7433,7499,7474
7434,7500,7474
7435,7501,7463
7436,7502,7463
7438,7504,7466
7439,7506,7504
7440,7505,7504
7441,7507,7460
7442,7508,7460
7443,7509,7460
7445,7511,7460
7446,7512,7460
7447,7513,7460
7448,7514,7460
7449,7463,7465
7451,7613,7460
7452,7612,7462
7453,7611,7507
7454,7610,7507
7455,7609,7462
7456,7608,7513
7457,7607,7513
7458,7606,7514
7459,7605,7512
7460,7604,7507
7461,7603,7613
7462,7602,7613
7463,7601,7512
7464,7600,7613
7465,7599,7511
7466,7598,7511
7467,7597,7512
7468,7596,7507
7469,7595,7613
7470,7594,7513
7471,7593,7511
7472,7592,7507
7473,7591,7613
7474,7590,7513
7475,7589,7512
7476,7588,7512
7477,7587,7462
7478,7586,7462
7479,7585,7613
7480,7584,7462
7481,7583,7513
7482,7582,7512
7483,7581,7512
7484,7580,7462
7485,7579,7462
7486,7578,7507
7487,7577,7514
7488,7576,7462
7489,7575,7462
7490,7574,7613
7491,7573,7507
7492,7572,7511
7493,7571,7513
7494,7570,7513
7495,7569,7511
7496,7568,7462
7497,7567,7462
7498,7566,7462
7499,7565,7462
7500,7564,7507
7501,7563,7513
7502,7562,7507
7503,7561,7513
7504,7560,7507
7505,7559,7507
7506,7558,7462
7507,7557,7513
7508,7556,7462
7509,7555,7507
7510,7554,7462
7511,7553,7507
7512,7552,7511
7513,7546,7462
7514,7545,7462
7515,7541,7462
7516,7539,7462
7517,7538,7462
7518,7537,7462
7519,7518,7462
7520,7517,7462
7521,7516,7613
7522,7524,7613
7523,7523,7613
7524,7551,7513
7525,7543,7513
7526,7533,7513
7527,7529,7513
7528,7522,7513
7529,7550,7462
7530,7549,7514
7531,7548,7512
7532,7547,7512
7533,7544,7512
7534,7542,7507
7535,7540,7512
7536,7536,7507
7537,7535,7507
7538,7534,7507
7539,7532,7507
7540,7531,7512
7541,7530,7512
7542,7528,7507
7543,7527,7511
7544,7526,7507
7545,7525,7507
7546,7521,7507
7547,7520,7512
7548,7519,7507
7552,7615,7614
7553,7616,7615
7554,7617,7616
7558,7619,7488
7559,7620,7488
7560,7621,7488
7563,7624,7493
7564,7625,7494
7565,7626,72
7566,7628,86
7567,7629,7495
7568,7630,7495
7569,7631,76
7570,7633,79
7572,7634,7633
7573,7632,7631
7580,7637,7466
7583,7643,7466
7584,7644,7512
7585,7645,7643
7586,7642,7643
7587,7646,7479
7588,7647,7478
7589,7648,7477
7590,7649,7511
7591,7650,7511
7593,7652,7513
7594,7653,7512
7595,7654,7512
7596,7655,7508
7597,7656,7466
7598,7657,7656
7599,7658,74
7600,7659,7658
7601,7660,81
7602,7661,97
7603,7662,81
7605,7703,7460
7606,7704,97
7607,7665,7704
7608,7666,7511
7610,7705,97
7611,7667,7705
7612,7668,7511
7614,7670,7511
7615,7671,7511
7616,7672,7511
7617,7673,7511
7618,7674,7703
7619,7675,7513
7620,7676,7613
7621,7677,7703
7623,7706,97
7624,7678,7706
7625,7707,97
7626,7680,7511
7627,7681,7511
7628,7682,7703
7629,7683,7511
7630,7686,7511
7631,7688,7511
7634,7690,7703
7635,7692,7511
7636,7693,7511
7637,7694,7511
7638,7695,7511
7639,7696,7511
7640,7697,7511
7641,7698,7511
7642,7699,7511
7643,7701,7511
7644,7702,7511
7645,7689,7610
7646,7679,7707
7648,7684,7511
7649,7685,7511
7650,7687,7511
7651,7691,7514
7652,7663,7513
7654,7710,74
7655,7711,74
7656,7712,103
7658,7713,7511
7659,7714,7460
7660,7715,7714
7661,7716,7511
7662,7717,7463
7665,7719,97
7666,7721,97
7667,7722,7466
7668,7723,7511
7669,7724,7511
7670,7720,7721
7671,7725,7511
7673,7726,7511
7674,7718,7719
7675,7727,7718
7676,7728,7703
7677,7729,7509
7679,7730,7511
7680,7731,7509
7681,7732,7615
7682,7733,7732
7684,7734,7615
7685,7735,7734
7686,7736,7734
7687,7737,7511
7688,7738,7512
7689,7739,7513
7690,7740,98
7691,7741,7474
7692,7742,7466
7694,7743,7744
7696,7745,7744
7697,7746,7474
7700,7748,97
7701,7749,7466
7702,7750,7466
7703,7751,7466
7704,7752,7466
7706,7753,7466
7707,7754,7466
7710,7756,97
7711,7757,7756
7712,7758,7757
7713,7759,7466
7714,7760,7466
7715,7761,7466
7716,7762,7466
7717,7763,7466
7718,7764,7466
7719,7765,7466
7720,7766,7466
7721,7767,7466
7722,7768,7466
7723,7769,7466
7724,7770,7466
7725,7771,7759
7726,7772,7760
7728,7774,7466
7729,7773,7774
7730,7775,7752
7731,7776,7752
7732,7777,7643
7733,7778,7656
7734,7779,7754
7735,7780,7750
7737,7781,7643
7738,7782,7643
7739,7783,7784
7740,7784,7466
7742,7785,7770
7743,7786,7751
7744,7787,7750
7745,7788,7751
7746,7789,7750
7747,7790,7752
7748,7791,7752
7749,7792,7752
7750,7793,7752
7751,7794,7752
7752,7795,7643
7753,7796,7643
7754,7797,7466
7755,7798,7752
7756,7799,7770
7757,7800,98
7759,7801,7800
7760,7802,7800
7761,7803,7800
7762,7804,7800
7763,7805,7800
7764,7806,7800
7765,7807,7806
7767,7808,7801
7768,7809,7801
7769,7810,7801
7770,7811,7801
7771,7812,7801
7772,7813,7801
7773,7814,7801
7774,7815,7801
7775,7816,7801
7776,7817,7801
7777,7818,7801
7778,7819,7861
7779,7820,7801
7780,7821,7801
7782,7823,98
7783,7822,7823
7784,7825,7801
7786,7826,7801
7788,7827,7801
7789,7828,7801
7790,7829,7801
7791,7830,7801
7792,7831,7801
7793,7832,7801
7795,7834,7801
7796,7836,7801
7797,7837,7801
7798,7838,7801
7799,7839,7801
7800,7840,7801
7801,7841,7801
7802,7842,7801
7803,7843,7801
7804,7844,7801
7805,7845,7801
7806,7846,7801
7807,7847,7801
7808,7848,7801
7809,7849,7801
7810,7850,7801
7811,7851,7801
7812,7852,7801
7813,7853,7801
7814,7854,7801
7817,7744,7856
7818,7614,7856
7825,7405,7856
7850,7857,59
7851,7858,97
7852,7859,7858
7853,7860,7756
7854,7861,7800
7855,7862,7861
7856,7863,7801
7857,7864,7801
7858,7865,7801
7859,7866,7801
7860,7867,7801
7861,7868,7801
7862,7869,7801
7863,7870,74
7864,7871,76
